2017-06-02 00:00:00,2017-06-02 00:00:00,CreativeMorningsWRO: L.U.C w Bułce z Masłem,CreativeMorningsWRO.L.C.bułka.masło
2017-06-02 00:00:00,2017-06-04 00:00:00,Festiwal Dramatu STREFY KONTAKTU. Czytania,festiwal.dramat.strefa.kontakt.czytanie
2017-06-02 00:00:00,2017-06-04 00:00:00,Dinner in the Sky – Wrocław 2017,Dinner.in.the.Sky.Wrocław.2017
2017-06-02 00:00:00,2017-06-04 00:00:00,Decrunch 2117 – retro gry i komputery,Decrunch.2117.retro.gra.komputer
2017-06-02 00:00:00,2017-06-04 00:00:00,Targi „Pyszna Polska” 2017 w Hali Stulecia,targ.pyszny.Polska.2017.Hala.stulecie
2017-06-01 00:00:00,2017-06-01 00:00:00,Dzieci gór,dziecko.góra
2017-06-01 00:00:00,2017-06-01 00:00:00,Przypadek,przypadek
2017-06-01 00:00:00,2017-06-01 00:00:00,Koncert: Magia Broadwayu i kina,koncert.magia.Broadway.kino
2017-06-01 00:00:00,2017-06-01 00:00:00,Bi Kidude na celowniku,Bi.Kidude.celownik
2017-06-01 00:00:00,2017-06-01 00:00:00,Kultura Dostępna: Za niebieskimi drzwiami,kultura.dostępny.za.niebieski.drzwi
2017-06-01 00:00:00,2017-06-01 00:00:00,Kultura Dostępna: Za niebieskimi drzwiami,kultura.dostępny.za.niebieski.drzwi
2017-06-01 00:00:00,2017-06-01 00:00:00,W reakcji na zło. Wykład Bernadetty Darskiej,reakcja.zło.wykład.Bernadetta.Darskiej
2017-06-01 00:00:00,2017-06-01 00:00:00,Kacperiada cz 1. (6 odcinków + Geneza Muchomściciela),Kacperiada.cz.1.6.odcinek.geneza.Muchomściciela
2017-06-01 00:00:00,2017-06-01 00:00:00,Znaki na ciele – warsztaty kaligraficzne na Dzień Dziecka we WRO,znak.ciało.warsztat.kaligraficzny.dzienia.dziecko.WRO
2017-06-01 00:00:00,2017-06-04 00:00:00,Dzień Dziecka w Kinie Nowe Horyzonty,dzienia.dziecko.Kinia.nowa.horyzont
2017-06-01 00:00:00,2017-06-01 00:00:00,Dzień Dziecka w Sky Tower pełen skarbów,dzienia.dziecko.Sky.Tower.pełny.skarb
2017-06-01 00:00:00,2017-06-01 00:00:00,Dzień Dziecka – przejazd zabytkowym autobusem,dzienia.dziecko.przejazd.zabytkowy.autobus
2017-06-01 00:00:00,2017-06-01 00:00:00,Dzień Dziecka w Domu Handlowym „Feniks",dzienia.dziecko.dom.handlowy.Feniks
2017-06-01 00:00:00,2017-06-01 00:00:00,Oddawaj batona!,oddawać.baton
2017-06-01 00:00:00,2017-06-01 00:00:00,Dzień Dziecka w Arkadach Wrocławskich,dzienia.dziecko.arkada.Wrocławskie
2017-06-01 00:00:00,2017-06-01 00:00:00,Magic Show na Dzień Dziecka — Marcin Muszyński,Magic.show.dzienia.dziecko.Marcin.Muszyński
2017-06-01 00:00:00,2017-06-04 00:00:00,Festiwal AfryKamera,festiwal.AfryKamera
2017-06-01 00:00:00,2017-06-03 00:00:00,Spotkania autorskie Europy na Widelcu,spotkanie.autorski.Europa.widelec
2017-06-01 00:00:00,2017-06-04 00:00:00,Dzień Dziecka w Loopy’s World,dzienia.dziecko.Loopy.sekunda.World
2017-06-01 00:00:00,2017-06-08 00:00:00,Dzień Dziecka w Galerii Tętno,dzienia.dziecko.galeria.tętno
2017-06-01 00:00:00,2017-06-04 00:00:00,Dzień Dziecka we wrocławskim aquaparku,dzienia.dziecko.wrocławski.aquapark
2017-05-31 00:00:00,2017-05-31 00:00:00,RoboCop,RoboCop
2017-05-31 00:00:00,2017-05-31 00:00:00,Tribute to Amy Winehousem w Starym Klasztorze,Tribute.Amy.Winehousem.stara.klasztor
2017-05-31 00:00:00,2017-05-31 00:00:00,„Pociąg do nieba” – premiera Teatru na Różance,pociąg.niebo.premier.teatr.różanka
2017-05-31 00:00:00,2017-05-31 00:00:00,Empatyczna Grupa Wsparcia dla Rodziców ART MAISON,empatyczny.grupa.wsparcie.rodzic.ART.MAISON
2017-05-31 00:00:00,2017-05-31 00:00:00,Warsztaty sensualne: Hałasy  symfonie  emocje,warsztat.sensualny.hałas.symfonia.emocja
2017-05-31 00:00:00,2017-05-31 00:00:00,Akademia Polskiego Filmu: Rysopis; Walkower,akademia.polski.film.rysopis.walkower
2017-05-31 00:00:00,2017-05-31 00:00:00,Twórcy pałacu Hatzfeldów – wykład dr Jerzego Kosa,twórca.pałac.Hatzfeldów.wykład.dr.Jerzy.kos
2017-05-31 00:00:00,2017-05-31 00:00:00,Twórcy pałacu Hatzfeldów – wykład dr Jerzego Kosa,twórca.pałac.Hatzfeldów.wykład.dr.Jerzy.kos
2017-05-31 00:00:00,2017-06-04 00:00:00,Targi Książki Kulinarnej,targ.książka.kulinarny
2017-05-31 00:00:00,2017-06-04 00:00:00,Europa na Widelcu 2017,Europa.widelec.2017
2017-05-30 00:00:00,2017-05-30 00:00:00,Koncert: Posłuchaj  zobacz i uśmiechnij się!,koncert.posłuchać.zobaczyć.uśmiechnąć.się
2017-05-30 00:00:00,2017-05-30 00:00:00,Agnes Obel w Hali Stulecia,Agnes.Obel.Hala.stulecie
2017-05-30 00:00:00,2017-05-30 00:00:00,Rashomon,Rashomon
2017-05-30 00:00:00,2017-05-30 00:00:00,Odkrywanie nowych rynków  – o imporcie z Chin,odkrywać.nowa.rynek.import.Chiny
2017-05-29 00:00:00,2017-05-29 00:00:00,W drodze do Jah,droga.Jah
2017-05-29 00:00:00,2017-05-29 00:00:00,Biznes Mixer,biznes.Mixer
2017-05-29 00:00:00,2017-05-29 00:00:00,Czy Noam Chomsky jest wysoki czy szczęśliwy?,Noam.Chomsky.być.wysoki.szczęśliwy
